PassengerId,Survived,Pclass,Sex,Age2,FamilySize,Cabin,Embarked
1,0,3,male,22.0,2,U,S
2,1,1,female,38.0,2,C,C
3,1,3,female,26.0,1,U,S
4,1,1,female,35.0,2,C,S
5,0,3,male,35.0,1,U,S
6,0,3,male,32.0,1,U,Q
7,0,1,male,54.0,1,E,S
8,0,3,male,2.0,5,U,S
9,1,3,female,27.0,3,U,S
10,1,2,female,14.0,2,U,C
11,1,3,female,4.0,3,G,S
12,1,1,female,58.0,1,C,S
13,0,3,male,20.0,1,U,S
14,0,3,male,39.0,7,U,S
15,0,3,female,14.0,1,U,S
16,1,2,female,55.0,1,U,S
17,0,3,male,2.0,6,U,Q
18,1,2,male,32.0,1,U,S
19,0,3,female,31.0,2,U,S
20,1,3,female,36.0,1,U,C
21,0,2,male,35.0,1,U,S
22,1,2,male,34.0,1,D,S
23,1,3,female,15.0,1,U,Q
24,1,1,male,28.0,1,A,S
25,0,3,female,8.0,5,U,S
26,1,3,female,38.0,7,U,S
27,0,3,male,32.0,1,U,C
28,0,1,male,19.0,6,C,S
29,1,3,female,22.0,1,U,Q
30,0,3,male,32.0,1,U,S
31,0,1,male,40.0,1,U,C
32,1,1,female,36.0,2,B,C
33,1,3,female,22.0,1,U,Q
34,0,2,male,66.0,1,U,S
35,0,1,male,28.0,2,U,C
36,0,1,male,42.0,2,U,S
37,1,3,male,32.0,1,U,C
38,0,3,male,21.0,1,U,S
39,0,3,female,18.0,3,U,S
40,1,3,female,14.0,2,U,C
41,0,3,female,40.0,2,U,S
42,0,2,female,27.0,2,U,S
43,0,3,male,32.0,1,U,C
44,1,2,female,3.0,4,U,C
45,1,3,female,19.0,1,U,Q
46,0,3,male,32.0,1,U,S
47,0,3,male,32.0,2,U,Q
48,1,3,female,22.0,1,U,Q
49,0,3,male,32.0,3,U,C
50,0,3,female,18.0,2,U,S
51,0,3,male,7.0,6,U,S
52,0,3,male,21.0,1,U,S
53,1,1,female,49.0,2,D,C
54,1,2,female,29.0,2,U,S
55,0,1,male,65.0,2,B,C
56,1,1,male,32.0,1,C,S
57,1,2,female,21.0,1,U,S
58,0,3,male,28.0,1,U,C
59,1,2,female,5.0,4,U,S
60,0,3,male,11.0,8,U,S
61,0,3,male,22.0,1,U,C
62,1,1,female,38.0,1,B,
63,0,1,male,45.0,2,C,S
64,0,3,male,4.0,6,U,S
65,0,1,male,32.0,1,U,C
66,1,3,male,5.0,3,U,C
67,1,2,female,29.0,1,F,S
68,0,3,male,19.0,1,U,S
69,1,3,female,17.0,7,U,S
70,0,3,male,26.0,3,U,S
71,0,2,male,32.0,1,U,S
72,0,3,female,16.0,8,U,S
73,0,2,male,21.0,1,U,S
74,0,3,male,26.0,2,U,C
75,1,3,male,32.0,1,U,S
76,0,3,male,25.0,1,F,S
77,0,3,male,32.0,1,U,S
78,0,3,male,32.0,1,U,S
79,1,2,male,1.0,3,U,S
80,1,3,female,30.0,1,U,S
81,0,3,male,22.0,1,U,S
82,1,3,male,29.0,1,U,S
83,1,3,female,22.0,1,U,Q
84,0,1,male,28.0,1,U,S
85,1,2,female,17.0,1,U,S
86,1,3,female,33.0,4,U,S
87,0,3,male,16.0,5,U,S
88,0,3,male,32.0,1,U,S
89,1,1,female,23.0,6,C,S
90,0,3,male,24.0,1,U,S
91,0,3,male,29.0,1,U,S
92,0,3,male,20.0,1,U,S
93,0,1,male,46.0,2,E,S
94,0,3,male,26.0,4,U,S
95,0,3,male,59.0,1,U,S
96,0,3,male,32.0,1,U,S
97,0,1,male,71.0,1,A,C
98,1,1,male,23.0,2,D,C
99,1,2,female,34.0,2,U,S
