PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,Title,FSize,IsAlone
1,0,3,1,22.0,7.25,2,12,2,0
2,1,1,0,38.0,71.2833,0,13,2,0
3,1,3,0,26.0,7.925,2,9,1,1
4,1,1,0,35.0,53.1,2,13,2,0
5,0,3,1,35.0,8.05,2,12,1,1
6,0,3,1,29.881137667304014,8.4583,1,12,1,1
7,0,1,1,54.0,51.8625,2,12,1,1
8,0,3,1,2.0,21.075,2,8,5,0
9,1,3,0,27.0,11.1333,2,13,3,0
10,1,2,0,14.0,30.0708,0,13,2,0
11,1,3,0,4.0,16.7,2,9,3,0
12,1,1,0,58.0,26.55,2,9,1,1
13,0,3,1,20.0,8.05,2,12,1,1
14,0,3,1,39.0,31.275,2,12,7,0
15,0,3,0,14.0,7.8542,2,9,1,1
16,1,2,0,55.0,16.0,2,13,1,1
17,0,3,1,2.0,29.125,1,8,6,0
18,1,2,1,29.881137667304014,13.0,2,12,1,1
19,0,3,0,31.0,18.0,2,13,2,0
20,1,3,0,29.881137667304014,7.225,0,13,1,1
21,0,2,1,35.0,26.0,2,12,1,1
22,1,2,1,34.0,13.0,2,12,1,1
23,1,3,0,15.0,8.0292,1,9,1,1
24,1,1,1,28.0,35.5,2,12,1,1
25,0,3,0,8.0,21.075,2,9,5,0
26,1,3,0,38.0,31.3875,2,13,7,0
27,0,3,1,29.881137667304014,7.225,0,12,1,1
28,0,1,1,19.0,263.0,2,12,6,0
29,1,3,0,29.881137667304014,7.8792,1,9,1,1
30,0,3,1,29.881137667304014,7.8958,2,12,1,1
31,0,1,1,40.0,27.7208,0,2,1,1
32,1,1,0,29.881137667304014,146.5208,0,13,2,0
33,1,3,0,29.881137667304014,7.75,1,9,1,1
34,0,2,1,66.0,10.5,2,12,1,1
35,0,1,1,28.0,82.1708,0,12,2,0
36,0,1,1,42.0,52.0,2,12,2,0
37,1,3,1,29.881137667304014,7.2292,0,12,1,1
38,0,3,1,21.0,8.05,2,12,1,1
39,0,3,0,18.0,18.0,2,9,3,0
40,1,3,0,14.0,11.2417,0,9,2,0
41,0,3,0,40.0,9.475,2,13,2,0
42,0,2,0,27.0,21.0,2,13,2,0
43,0,3,1,29.881137667304014,7.8958,0,12,1,1
44,1,2,0,3.0,41.5792,0,9,4,0
45,1,3,0,19.0,7.8792,1,9,1,1
46,0,3,1,29.881137667304014,8.05,2,12,1,1
47,0,3,1,29.881137667304014,15.5,1,12,2,0
48,1,3,0,29.881137667304014,7.75,1,9,1,1
49,0,3,1,29.881137667304014,21.6792,0,12,3,0
50,0,3,0,18.0,17.8,2,13,2,0
51,0,3,1,7.0,39.6875,2,8,6,0
52,0,3,1,21.0,7.8,2,12,1,1
53,1,1,0,49.0,76.7292,0,13,2,0
54,1,2,0,29.0,26.0,2,13,2,0
55,0,1,1,65.0,61.9792,0,12,2,0
56,1,1,1,29.881137667304014,35.5,2,12,1,1
57,1,2,0,21.0,10.5,2,9,1,1
58,0,3,1,28.5,7.2292,0,12,1,1
59,1,2,0,5.0,27.75,2,9,4,0
60,0,3,1,11.0,46.9,2,8,8,0
61,0,3,1,22.0,7.2292,0,12,1,1
62,1,1,0,38.0,80.0,2,9,1,1
63,0,1,1,45.0,83.475,2,12,2,0
64,0,3,1,4.0,27.9,2,8,6,0
65,0,1,1,29.881137667304014,27.7208,0,12,1,1
66,1,3,1,29.881137667304014,15.2458,0,8,3,0
67,1,2,0,29.0,10.5,2,13,1,1
68,0,3,1,19.0,8.1583,2,12,1,1
69,1,3,0,17.0,7.925,2,9,7,0
70,0,3,1,26.0,8.6625,2,12,3,0
71,0,2,1,32.0,10.5,2,12,1,1
72,0,3,0,16.0,46.9,2,9,8,0
73,0,2,1,21.0,73.5,2,12,1,1
